transaction_id,customer_id,amount,payment_method,bank,card_type,hour_of_day,day_of_week,is_weekend,customer_tenure_days,prior_failed_attempts_30d,network_latency_ms,retry_attempt_number,device_type,failure_reason,failed,retry_success
1,595,180.77,wallet,KOTAK,debit,16,0,0,547,1,92.6,3,mobile,no_failure,0,
2,5159,2965.84,upi,SBI,credit,19,0,0,214,0,554.2,2,mobile,bank_server_error,1,1.0
3,4363,1947.42,card,ICICI,credit,2,6,1,724,4,99.7,1,mobile,no_failure,0,
4,2926,1599.11,upi,IDFC,debit,22,1,0,1222,1,347.7,3,mobile,no_failure,0,
5,2887,2085.11,card,ICICI,debit,11,3,0,392,0,52.5,2,desktop,no_failure,0,
6,5723,195.72,card,IDFC,credit,0,2,0,235,1,318.3,2,desktop,bank_server_error,1,1.0
7,573,1126.85,wallet,AXIS,credit,8,5,1,672,0,59.5,2,mobile,no_failure,0,
8,4648,768.73,wallet,ICICI,debit,23,4,0,751,0,130.5,1,mobile,no_failure,0,
9,1343,1506.18,upi,YES,prepaid,11,0,0,1130,1,72.3,2,mobile,invalid_otp,1,1.0
10,628,1547.59,card,IDFC,credit,16,3,0,1155,0,62.7,2,mobile,no_failure,0,
11,3509,2021.11,upi,IDFC,credit,8,0,0,44,1,411.8,3,mobile,bank_server_error,1,0.0
12,6503,2247.05,upi,SBI,credit,9,6,1,1285,2,54.9,1,mobile,no_failure,0,
13,4904,208.37,card,IDFC,credit,11,3,0,183,0,401.6,2,mobile,bank_server_error,1,1.0
14,5073,1139.42,card,KOTAK,credit,12,6,1,281,1,157.1,1,mobile,no_failure,0,
15,4782,1354.11,upi,SBI,credit,23,4,0,176,0,120.7,3,mobile,no_failure,0,
16,5240,416.27,card,IDFC,debit,10,2,0,274,0,334.7,3,mobile,no_failure,0,
17,3421,372.52,upi,AXIS,credit,4,2,0,1078,0,62.4,2,mobile,no_failure,0,
18,854,318.86,card,ICICI,credit,5,2,0,1053,1,115.4,2,desktop,no_failure,0,
19,5597,2487.63,netbanking,YES,debit,11,2,0,177,0,251.9,3,desktop,no_failure,0,
20,3002,253.6,netbanking,HDFC,debit,21,0,0,1255,0,152.0,1,mobile,expired_card,1,1.0
21,3335,306.15,card,SBI,prepaid,12,4,0,590,2,76.9,1,desktop,no_failure,0,
22,2472,1458.58,wallet,AXIS,debit,1,3,0,1151,0,66.0,1,mobile,no_failure,0,
23,1217,1842.12,upi,KOTAK,prepaid,21,4,0,244,2,456.5,2,desktop,bank_server_error,1,1.0
24,6177,1321.07,netbanking,KOTAK,credit,11,1,0,1465,1,72.6,1,mobile,no_failure,0,
25,5210,503.77,netbanking,YES,debit,3,4,0,32,0,186.1,1,mobile,no_failure,0,
26,4292,381.29,card,AXIS,credit,20,2,0,51,1,240.3,2,mobile,insufficient_funds,1,1.0
27,2683,1427.3,netbanking,AXIS,debit,15,0,0,1334,1,47.4,1,desktop,no_failure,0,
28,5484,1208.26,card,KOTAK,credit,9,2,0,80,0,93.8,3,desktop,no_failure,0,
29,3636,971.59,wallet,AXIS,credit,9,0,0,1410,1,229.4,3,mobile,no_failure,0,
30,2956,2410.12,upi,IDFC,credit,6,4,0,1492,2,126.5,3,mobile,invalid_otp,1,0.0
31,3003,1145.34,upi,SBI,debit,20,3,0,1453,0,322.3,3,mobile,no_failure,0,
32,1515,346.67,card,HDFC,debit,9,1,0,639,1,96.8,1,mobile,no_failure,0,
33,615,976.49,card,KOTAK,debit,12,0,0,996,2,82.6,1,mobile,no_failure,0,
34,3697,1997.93,card,IDFC,debit,22,3,0,1090,2,250.3,2,mobile,bank_server_error,1,1.0
35,5918,1089.48,card,ICICI,credit,5,3,0,751,1,156.6,1,mobile,expired_card,1,0.0
36,426,1972.06,card,ICICI,debit,14,3,0,225,1,442.3,1,desktop,bank_server_error,1,1.0
37,5721,2263.38,card,SBI,debit,8,1,0,971,0,410.3,1,mobile,bank_server_error,1,1.0
38,5517,1148.52,wallet,IDFC,credit,3,3,0,560,0,256.9,2,mobile,no_failure,0,
39,1845,1316.16,netbanking,ICICI,credit,22,0,0,827,0,193.4,3,mobile,no_failure,0,
40,4211,1033.29,upi,YES,credit,18,3,0,1493,2,134.2,3,mobile,no_failure,0,
41,1102,2004.14,netbanking,ICICI,credit,20,3,0,504,2,113.3,3,desktop,insufficient_funds,1,0.0
42,5053,1006.71,upi,YES,credit,0,2,0,1161,0,105.2,1,desktop,insufficient_funds,1,1.0
